title,direction,release_date,worldwide_box_office,rotten_tomatoes,metacritic,distributor,publisher
Super Mario Bros.,Rocky MortonAnnabel Jankel,1993-05-28,38912465,29.0,35.0,Buena Vista Pictures Distribution,Nintendo
Double Dragon,James Yukich,1994-11-04,4152699,12.0,0.0,Gramercy Pictures,Techn s Japan
Street Fighter,Steven E. de Souza,1994-12-23,99423521,11.0,34.0,Universal PicturesColumbia TriStar Film Distributors International,Capcom
Mortal Kombat,Paul W. S. Anderson,1995-08-18,124741822,45.0,60.0,New Line Cinema,Midway
Mortal Kombat Annihilation,John R. Leonetti,1997-11-21,51376861,4.0,11.0,UNKNOWN,UNKNOWN
Wing Commander,Chris Roberts,1999-03-12,11578059,10.0,21.0,20th Century Fox,Origin Systems
Lara Croft: Tomb Raider,Simon West,2001-06-15,274703340,20.0,33.0,Paramount Pictures,Eidos
Resident Evil,Paul W. S. Anderson,2002-03-15,102984862,35.0,33.0,Sony Pictures Releasing,Capcom
Lara Croft: Tomb Raider   The Cradle of Life,Jan de Bont,2003-07-25,156505388,24.0,43.0,Paramount Pictures,Eidos
House of the Dead,Uwe Boll,2003-10-10,13818181,3.0,15.0,Artisan Entertainment,Sega
Resident Evil: Apocalypse,Alexander Witt,2004-09-10,129342769,19.0,35.0,Sony Pictures Releasing,Capcom
Alone in the Dark,Uwe Boll,2005-01-28,10442808,1.0,9.0,Lionsgate,Infogrames
Doom,Andrzej Bartkowiak,2005-10-21,55987321,18.0,34.0,Universal Pictures,id Software
BloodRayne,Uwe Boll,2006-01-06,3650275,4.0,18.0,Boll KG Productions,Majesco Entertainment
Silent Hill,Christophe Gans,2006-04-21,97607453,32.0,31.0,Sony Pictures Releasing,Konami
DOA: Dead or Alive,Corey Yuen,2006-09-07,7516532,33.0,38.0,Metro-Goldwyn-MayerDimension Films,Tecmo
Resident Evil: Extinction,Russell Mulcahy,2007-09-21,148412065,25.0,41.0,Sony Pictures Releasing,Capcom
Postal,Uwe Boll,2007-10-18,146741,9.0,22.0,Vivendi Entertainment,Ripcord Games
Hitman,Xavier Gens,2007-11-21,101276318,16.0,35.0,20th Century Fox,Eidos
In the Name of the King: A Dungeon Siege Tale,Uwe Boll,2008-01-11,13097915,4.0,15.0,UNKNOWN,Microsoft Studios
Far Cry,UNKNOWN,2008-10-02,743634,0.0,0.0,UNKNOWN,Ubisoft
Max Payne,John Moore,2008-10-17,85416905,16.0,31.0,UNKNOWN,Rockstar Games
Street Fighter: The Legend of Chun-Li,Andrzej Bartkowiak,2009-02-27,12764201,5.0,17.0,UNKNOWN,Capcom
Tekken,Dwight Little,2010-03-20,1697207,0.0,0.0,Warner Bros. Pictures,Bandai Namco Games
