Game,Year,Developer,Publisher,Film
NinjasKickBack,,MalibuInteractive,SonyImagesoft,NinjasKickBack
LicencetoKill,,Quixel,Domark,LicencetoKill
Legends,,Eurocom,Activision,GoldfingerOnHerMajestysSecretServiceMoonrakerLicencetoKillDieAnotherDaySkyfall
DalmatiansPuppiestotheRescue,,CrystalDynamics,EidosInteractivePSPCDC,Dalmatians
MarchtoGlory,,CollisionStudios,WarnerBrosGames,
ASoundofThunder,,MbiusEntertainment,BAMEntertainment,ASoundofThunder
AD,,RMPSoftware,LKAvalon,Sexmission
ActionManRobotAtak,,MagicPockets,Atari,ActionManRobotAtak
AddamsFamilyValues,,OceanSoftware,OceanSoftware,AddamsFamilyValues
TheAddamsFamily,,OceanSoftware,OceanSoftware,TheAddamsFamily
onFlux,,TerminalReality,MajescoEntertainment,onFlux
AlexRiderStormbreaker,,RazorbackDevelopmentsGameBoyAdvance,THQ,Stormbreaker
Alexander,,GSCGameWorld,Ubisoft,Alexander
,,PenduloStudios,Microids,Vertigo
AliceinWonderland,,DigitalEclipseSoftware,Nintendo,AliceinWonderland
AlicenoPaintAdventure,,SASSakata,Epoch,AliceinWonderland
Alien,,FoxVideoGames,FoxVideoGames,Alien
Alien,,ProbeSoftware,AcclaimEntertainmenta,Alien
AlienTheGun,,Sega,Sega,Alien
AlienTrilogy,,ProbeEntertainment,AcclaimEntertainment,Alienfilmseries
Aliens,,Konami,Konami,Aliens
AliensOnline,,MythicEntertainment,GameStorm,Aliens
AliensColonialMarines,,GearboxSoftwareb,Sega,Alienfilmseries
AliensAlien,,Square,Square,Aliens
Resurrection,,ArgonautGames,FoxInteractive,AlienResurrection
AliensExtermination,,PlayMechanix,GlobalVR,Aliens
AliensTheComputerGame,,Activision,ActivisionUS,Aliens
TheComputerGame,,SoftwareStudios,ElectricDreamsSoftware,Aliens
AliensvsPredator,,RebellionDevelopments,Sega,AlienvsPredatorandAliensvsPredatorRequiem
AliensvsPredatorRequiem,,RebellionDevelopments,VivendiGamesc,AliensvsPredatorRequiem
AllDogsGotoHeaven,,PolarwarePenguinSoftware,MeritSoftware,AllDogsGotoHeaven
