Game,Year,Developer,Publisher,Film
3 Ninjas Kick Back,1994,Malibu Interactive,Sony Imagesoft,3 Ninjas Kick Back
007: Licence to Kill,1989,Quixel,Domark,Licence to Kill
007 Legends,2012,Eurocom,Activision,"Goldfinger, On Her Majesty's Secret Service, Moonraker, Licence to Kill, Die Another Day, Skyfall"
102 Dalmatians: Puppies to the Rescue,2000,Crystal Dynamics,"Eidos Interactive (PS1, PC, DC)",102 Dalmatians
300: March to Glory,2007,Collision Studios,Warner Bros. Games,300
A Sound of Thunder,2004,Möbius Entertainment,BAM! Entertainment,A Sound of Thunder
A.D. 2044,1996,R.M.P. Software,LK Avalon,Sexmission
Action Man: Robot Atak,2004,Magic Pockets,Atari,Action Man: Robot Atak
Addams Family Values,1995,Ocean Software,Ocean Software,Addams Family Values
The Addams Family,1992,Ocean Software,Ocean Software,The Addams Family
Æon Flux,2005,Terminal Reality,Majesco Entertainment,Æon Flux
Alex Rider: Stormbreaker,2006,Razorback Developments (Game Boy Advance),THQ,Stormbreaker
Alexander,2004,GSC Game World,Ubisoft,Alexander
Alfred Hitchcock  Vertigo,2021,Pendulo Studios,Microids,Vertigo
Alice in Wonderland,2000,Digital Eclipse Software,Nintendo,Alice in Wonderland
Alice no Paint Adventure,1995,SAS Sakata,Epoch[1],Alice in Wonderland
Alien,1982,Fox Video Games,Fox Video Games,Alien
Alien 3,1992,Probe Software,Acclaim Entertainment[a],Alien 3
Alien 3: The Gun,1993,Sega,Sega,Alien 3
Alien Trilogy,1996,Probe Entertainment,Acclaim Entertainment,Alien film series
Aliens,1990,Konami,Konami,Aliens
Aliens Online,1998,Mythic Entertainment,GameStorm,Aliens
Aliens: Colonial Marines,2013,Gearbox Software[b],Sega,Alien film series
Aliens: Alien 2,1987,Square,Square,Aliens
Resurrection,2000,Argonaut Games,Fox Interactive,Alien Resurrection
Aliens: Extermination,2006,Play Mechanix,Global VR,Aliens
Aliens: The Computer Game,1986,Activision,Activision (US),Aliens
The Computer Game,1987,Software Studios,Electric Dreams Software,Aliens
Aliens vs. Predator,2010,Rebellion Developments,Sega,Alien vs. Predator (2004) and Aliens vs. Predator: Requiem (2007)
Aliens vs. Predator: Requiem,2007,Rebellion Developments,Vivendi Games[c],Aliens vs. Predator: Requiem
All Dogs Go to Heaven,1989,Polarware/Penguin Software,Merit Software,All Dogs Go to Heaven
Alvin and the Chipmunks,2007,Sensory Sweep Studios,Brash Entertainment,Alvin and the Chipmunks
Alvin and the Chipmunks: The Squeakquel,2009,ImaginEngine,Majesco Entertainment,Alvin and the Chipmunks: The Squeakquel
Alvin and the Chipmunks: Chipwrecked,2011,Behaviour Interactive,NA: Majesco Entertainment,Alvin and the Chipmunks: Chipwrecked
The Amazing Spider-Man,2012,"Beenox (Microsoft Windows, Xbox 360, PS3, PlayStation Vita, Wii U, Wii, 3DS)",Activision,The Amazing Spider-Man
The Amazing Spider-Man 2,2014,"Beenox (Microsoft Windows, PS3, PS4, Wii U, Xbox 360, Xbox One)",Activision,The Amazing Spider-Man 2
An American Tail: The Computer Adventures of Fievel and His Friends,1992,Manley & Associates,Capstone Software,An American Tail and An American Tail: Fievel Goes West
Fievel Goes West,1994,Shimada Kikaku,Hudson Soft,An American Tail: Fievel Goes West
Anastasia: Adventures with Pooka and Bartok,1997,Motion Works,Fox Interactive,Anastasia
Angry Birds Rio,2011,Rovio Mobile,Rovio Mobile,Rio and Rio 2
The Ant Bully,2006,Artificial Mind and Movement,Midway Games,The Ant Bully
Antz,1999,Panet Interactive,Infogrames,Antz
Antz Extreme Racing,2002,Supersonic Software,Empire Interactive,Antz
Antz Racing,2001,RFX Interactive,Light & Shadow Production,Antz
Arachnophobia,1991,BlueSky Software,Disney Software,Arachnophobia
Arctic Tale,2007,Atomic Planet Entertainment,UK: Zoo Digital Publishing,Arctic Tale
Around the World in 80 Days,2004,Pick Up & Play (Mobile),Thumbworks (Mobile),Around the World in 80 Days
Arthur and the Invisibles,2007,Etranges Libellules,Atari,Arthur and the Invisibles
Asterix & Obelix Take On Caesar,1999,Tek 5,Cryo Interactive,Asterix & Obelix Take On Caesar
Asterix at the Olympic Games,2007,Étranges Libellules,Atari Europe,Asterix at the Olympic Games
Astro Boy: The Video Game,2009,High Voltage Software,D3 Publisher,Astro Boy
Atlantis The Lost Empire: Search for the Journal,2001,Zombie Studios,Disney Interactive,Atlantis: The Lost Empire
Atlantis The Lost Empire: Trial by Fire,2001,Zombie Inc.,Disney Interactive,Atlantis: The Lost Empire
Attack of the Killer Tomatoes,1986,"Fatman, Dobbin, Stuart Ruecroft",Global Software,Attack of the Killer Tomatoes
James Cameron's Avatar: The Game,2009,Ubisoft Montreal,Ubisoft,Avatar
Back to the Future,1985,"Software Images (Mark Eyles, Martin Walker, Herv Jones, Mike Saxby)",Electric Dreams Software,Back to the Future
Back to the Future Part II & III,1990,Beam Software,Acclaim Entertainment[d],Back to the Future Part II and Back to the Future Part III
Back to the Future Part II,1990,,Arena Entertainment,Back to the Future Part II
Back to the Future Part III,1991,Probe Software,Image Works,Back to the Future Part III
Bad Boys: Miami Takedown,2004,Blitz Games,Empire Interactive,Bad Boys II
Ecks vs. Sever,2002,Crawfish Interactive,BAM! Entertainment,Ballistic: Ecks vs. Sever
Barnyard,2006,Blue Tongue Entertainment,THQ,Barnyard
Batman,1989,Ocean Software,Ocean Software,Batman
Batman & Robin,1998,Probe Entertainment (PlayStation),Acclaim Entertainment (PlayStation),Batman & Robin
Batman Begins,2005,"Eurocom (GC, PS2 & Xbox)",EA Games,Batman Begins
Batman Forever,1995,Probe Entertainment,Acclaim Entertainment,Batman Forever
Batman Forever: The Arcade Game,1996,Probe Entertainment,Acclaim Entertainment,Batman Forever
Batman Returns,1992,Denton Designs (Amiga),Sega of America (Sega versions),Batman Returns
Batman: The Video Game,1989,Sunsoft,Sunsoft,Batman
Battleship,2012,Double Helix Games (PS3 & X360),Activision,Battleship
Beauty and the Beast,1994,Probe Software,Hudson Soft,Beauty and the Beast
Bebe's Kids,1994,Radical Entertainment[2],Paramount Interactive[3],Bébé's Kids
Bee Movie Game,2007,"Beenox (Xbox 360, PS2, PC)",Activision,Bee Movie
Beetlejuice,1991,Rare,Acclaim Entertainment[e],Beetlejuice
Beowulf: The Game,2007,Ubisoft Shanghai,Ubisoft,Beowulf
Beverly Hills Cop,2006,Atomic Planet Entertainment,Blast Entertainment,Beverly Hills Cop film series
Beverly Hills Cop,1990,Tynesoft,,Beverly Hills Cop
Big Rumble Boxing: Creed Champions,2021,"Survios, Inc.","Survios, Inc.",Rocky franchise
Big Trouble in Little China,1986,"Mev Dinc, Focus (as Software Studios)",Electric Dreams Software,Big Trouble in Little China
Bill & Ted's Excellent Adventure,1989,Off The Wall Productions[4],Capstone,Bill & Ted's Excellent Adventure
Bill & Ted's Excellent Adventure,1991,"Mev Dinc, Focus (as Software Studios)",Electric Dreams Software,Bill & Ted's Excellent Adventure and Bill & Ted's Bogus Journey
The Black Cauldron,1986,Sierra On-Line,Sierra On-Line,The Black Cauldron
Blade,2000,HammerHead (PlayStation),Activision,Blade
Blade II,2002,Mucky Foot Productions,Activision,Blade II
Blade Runner,1997,Westwood Studios,Virgin Interactive,Blade Runner
Blair Witch,2000,Terminal Reality (Vol. I),Gathering of Developers,Blair Witch media franchise
Blazing Lazers,1989,Compile,Hudson Soft,Gunhed
Bloodwings: Pumpkinhead's Revenge,1995,,,Pumpkinhead II: Blood Wings
Bolt,2008,"Avalanche Software, Altron",Disney Interactive Studios,Bolt
Bram Stoker's Dracula,1993,Probe Entertainment,Sony Imagesoft,Bram Stoker's Dracula
Brave,2012,Behaviour Interactive,Disney Interactive Studios,Brave
Braveheart,1999,Red Lemon Studios,Eidos,Braveheart
A Bug's Life,1998,Traveller's Tales,Sony Computer Entertainment (PS),A Bug's Life
Cars,2006,Locomotive Games (PSP),THQ,Cars
Cars Mater-National Championship,2007,"Rainbow Studios (PlayStation 2, Xbox 360, Microsoft Windows)",THQ,Cars
Cars Race-O-Rama,2009,"Incinerator Studios (PlayStation 2, PlayStation 3, Xbox 360, Wii)",THQ,Cars
Cars 2,2011,Avalanche Software,Disney Interactive Studios,Cars 2
Cars 3: Driven to Win,2017,Avalanche Software,Warner Bros. Interactive Entertainment,Cars 3
Casper,1996,Funcom,Interplay Productions,Casper
The Cat in the Hat,2003,"Magenta Software (PS2, Xbox)",Vivendi Universal Games[f],The Cat in the Hat
Catwoman,2004,Argonaut Games[6][g],Electronic Arts,Catwoman
Chaos Island: The Lost World,1997,DreamWorks Interactive,DreamWorks Interactive,The Lost World: Jurassic Park
Charlie and the Chocolate Factory,2005,High Voltage Software,Global Star Software,Charlie and the Chocolate Factory
Charlie's Angels,2003,Neko Entertainment,Ubi Soft,Charlie's Angels and Charlie's Angels: Full Throttle
Charlotte's Web,2006,Backbone Entertainment,Sega,Charlotte's Web
The Cheetah Girls,2006,Gorilla Systems,Buena Vista Games,The Cheetah Girls and The Cheetah Girls 2
The Cheetah Girls: Passport to Stardom,2008,Handheld Games,Disney Interactive Studios,The Cheetah Girls: One World
Chicken Little,2005,"Avalanche Software (PS2, GC, Xbox, Microsoft Windows)",Buena Vista Games,Chicken Little
Chicken Run,2000,Blitz Games,Eidos Interactive,Chicken Run
Ch?opaki Nie P?acz?,2005,L'Art,,Boys Don't Cry
Ch? Jik? Y?sai Macross: Ai Oboete Imasu ka,1997,Scarab,Bandai,Macross: Do You Remember Love?
Prince Caspian,2008,Traveller's Tales,Disney Interactive Studios,The Chronicles of Narnia: Prince Caspian
"The Lion, the Witch and the Wardrobe",2005,Traveller's Tales,Buena Vista Games[7],"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
The Voyage of the Dawn Treader,2010,Fox Digital Entertainment,Gameloft,The Chronicles of Narnia: The Voyage of the Dawn Treader
The Chronicles of Riddick: Escape from Butcher Bay,2004,Starbreeze Studios,Vivendi Universal Games[h],The Chronicles of Riddick
The City of Lost Children,1997,Psygnosis,Psygnosis,The City of Lost Children
Clash of the Titans,2010,Game Republic,Bandai,Clash of the Titans
Cliffhanger,1993,Spidersoft,Sony Imagesoft,Cliffhanger
Clive Barker's Nightbreed: The Interactive Movie,1990,Impact Software,Ocean Software,Nightbreed
Cloak & Dagger,1984,Atari,Atari,Cloak & Dagger
Cloudy with a Chance of Meatballs,2009,Ubisoft Shanghai,Ubisoft,Cloudy with a Chance of Meatballs
Cobra,1987,Ocean Software,Ocean Software,Cobra
Computerized Coloring Books,1992,Capstone Software,IntraCorp,"FernGully: The Last Rainforest, Rock-a-Doodle, and Home Alone"
Congo The Movie: The Lost City of Zinj,1996,Jumpin Jack,Sega,Congo
Constantine,2005,Bits Studios,SCi Games,Constantine
Cool World,1992,Twilight,Ocean[8],Cool World
