name,year,developer,publisher,film,rank,platform,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales
Alien Trilogy,1996,Probe Entertainment,Acclaim Entertainment,Alien film series,4150,PS,Shooter,0.24,0.16,0.04,0.03,0.47
Aliens: Colonial Marines,2013,Gearbox Software[b],Sega,Alien film series,2574,X360,Shooter,0.36,0.37,0.0,0.07,0.8
Aliens: Colonial Marines,2013,Gearbox Software[b],Sega,Alien film series,3141,PS3,Shooter,0.2,0.31,0.0,0.13,0.64
Aliens: Colonial Marines,2013,Gearbox Software[b],Sega,Alien film series,8116,PC,Shooter,0.1,0.06,0.0,0.02,0.18
Alvin and the Chipmunks,2007,Sensory Sweep Studios,Brash Entertainment,Alvin and the Chipmunks,9251,DS,Misc,0.12,0.0,0.0,0.01,0.14
Alvin and the Chipmunks,2007,Sensory Sweep Studios,Brash Entertainment,Alvin and the Chipmunks,11853,PS2,Misc,0.04,0.03,0.0,0.01,0.07
Alvin and the Chipmunks: The Squeakquel,2009,ImaginEngine,Majesco Entertainment,Alvin and the Chipmunks: The Squeakquel,5927,DS,Misc,0.28,0.0,0.0,0.02,0.3
Alvin and the Chipmunks: The Squeakquel,2009,ImaginEngine,Majesco Entertainment,Alvin and the Chipmunks: The Squeakquel,10505,Wii,Misc,0.09,0.0,0.0,0.01,0.1
The Ant Bully,2006,Artificial Mind and Movement,Midway Games,The Ant Bully,9733,GC,Platform,0.09,0.02,0.0,0.0,0.12
The Ant Bully,2006,Artificial Mind and Movement,Midway Games,The Ant Bully,10575,PS2,Platform,0.05,0.04,0.0,0.01,0.1
The Ant Bully,2006,Artificial Mind and Movement,Midway Games,The Ant Bully,11146,Wii,Platform,0.08,0.0,0.0,0.01,0.09
The Ant Bully,2006,Artificial Mind and Movement,Midway Games,The Ant Bully,14068,GBA,Platform,0.03,0.01,0.0,0.0,0.04
Antz Extreme Racing,2002,Supersonic Software,Empire Interactive,Antz,13768,PS2,Racing,0.02,0.02,0.0,0.01,0.04
Antz Extreme Racing,2002,Supersonic Software,Empire Interactive,Antz,15897,XB,Racing,0.01,0.0,0.0,0.0,0.02
Arthur and the Invisibles,2007,Etranges Libellules,Atari,Arthur and the Invisibles,14292,DS,Adventure,0.03,0.0,0.0,0.0,0.03
Bad Boys: Miami Takedown,2004,Blitz Games,Empire Interactive,Bad Boys II,1767,PS2,Shooter,0.56,0.44,0.0,0.15,1.15
Bad Boys: Miami Takedown,2004,Blitz Games,Empire Interactive,Bad Boys II,8090,XB,Shooter,0.14,0.04,0.0,0.01,0.18
Bad Boys: Miami Takedown,2004,Blitz Games,Empire Interactive,Bad Boys II,13451,GC,Shooter,0.03,0.01,0.0,0.0,0.05
